issued_year,issn,articles
2019,0263-8762,473
2019,0263-9319,138
2019,0264-2751,322
2019,0264-3707,79
2019,0264-410X,1108
2019,0264-8377,638
2019,0266-352X,340
2019,0266-6138,220
2019,0267-3649,81
2019,0267-7261,493
2019,0269-7491,1646
2019,0272-6386,767
2019,0272-8842,3224
2019,0273-1177,631
2019,0277-5387,796
2019,0277-5395,121
2019,0300-8932,365
2019,0300-9572,750
2019,0301-0546,100
2019,0301-4215,774
2019,0301-472X,339
2019,0301-4797,1725
2019,0301-5629,767
2019,0301-679X,554
2019,0303-8467,337
2019,0304-3479,53
2019,0304-3835,461
2019,0304-3894,1300
2019,0304-4238,964
2019,0304-8853,1480
2019,0305-4179,343
2019,0306-2619,1834
2019,0306-4379,122
2019,0306-4530,848
2019,0306-4549,591
2019,0307-904X,526
2019,0308-597X,415
2019,0308-8146,2187
2019,0341-8162,542
2019,0360-3016,3322
2019,0360-3199,3161
2019,0360-5442,2417
2019,0360-8352,687
2019,0361-9230,275
2019,0362-546X,247
2019,0363-0188,169
2019,0365-6691,187
2019,0376-6357,240
2019,0376-7388,870
2019,0377-2217,746
2019,0378-3812,369
2019,0378-4274,274
2019,0378-4371,1822
2019,0378-4754,285
2019,0385-8146,213
2019,0387-7604,195
2019,0730-725X,278
2019,0733-8627,85
2019,0733-8651,75
2019,0734-743X,214
2019,0734-9750,132
2019,0735-6757,1015
2019,0738-0593,131
2019,0738-3991,378
2019,0741-5214,1783
2019,0742-051X,248
2019,0747-5632,478
2019,0747-7171,128
2019,0748-7983,1220
2019,0749-0690,71
2019,0749-8063,769
2019,0755-4982,350
2019,0828-282X,772
2019,0882-5963,254
2019,0884-2175,341
2019,0888-3270,940
2019,0889-1591,686
2019,0889-8561,72
2019,0892-1997,471
2019,0899-8256,189
2019,0920-1211,172
2019,0921-8181,201
2019,0921-8831,370
2019,0923-5965,208
2019,0923-7534,4824
2019,0924-0136,463
2019,0925-5214,262
2019,0926-3373,1127
2019,0926-5805,294
2019,0927-7757,1116
2019,0927-7765,914
2019,0928-7655,48
2019,0951-8320,384
2019,0952-8180,365
2019,0954-6111,247
2019,0955-3959,282
2019,0955-7997,334
2019,0956-053X,608
2019,0959-289X,134
2019,0959-9436,250
2019,0960-0779,382
2019,0960-9822,883
2019,0962-6298,145
2019,0963-9969,920
2019,0968-090X,311
2019,0969-2126,205
2019,0969-6989,225
2019,0969-806X,392
2019,0973-6883,168
2019,0997-7538,225
2019,1007-5704,410
2019,1010-6030,577
2019,1036-7314,180
2019,1040-6190,112
2019,1042-4431,99
2019,1047-8477,156
2019,1052-5149,75
2019,1053-0770,883
2019,1054-8807,80
2019,1062-9408,248
2019,1062-9769,163
2019,1068-5200,282
2019,1071-5797,96
2019,1078-1439,296
2019,1078-5884,1708
2019,1096-4959,116
2019,1098-3015,4298
2019,1166-7087,390
2019,1226-086X,608
2019,1258-780X,165
2019,1286-0115,166
2019,1290-0729,509
2019,1296-2074,249
2019,1353-8020,484
2019,1359-835X,412
2019,1369-7021,282
2019,1369-8001,487
2019,1382-6689,153
2019,1383-5866,1166
2019,1386-4181,51
2019,1386-6532,154
2019,1469-0292,170
2019,1525-0016,234
2019,1525-7304,189
2019,1529-9430,809
2019,1534-5807,324
2019,1544-3191,265
2019,1547-4127,72
2019,1566-1199,531
2019,1567-1739,233
2019,1568-9883,128
2019,1574-1818,63
2019,1642-3593,80
2019,1742-7061,687
2019,1751-1577,85
2019,1756-0616,58
2019,1769-7212,188
2019,1769-7255,408
2019,1770-9857,91
2019,1775-8785,83
2019,1779-0123,156
2019,1871-1413,299
2019,1871-6784,81
2019,1876-1070,457
2019,1876-1399,80
2019,1876-2204,64
2019,1878-6146,132
2019,1879-4068,434
2019,1885-5857,353
2019,1931-3128,198
2019,1936-878X,541
2019,1988-8856,65
2019,2095-4956,280
2019,2173-5077,165
2019,2173-5743,189
2019,2210-6707,531
2019,2210-7762,135
2019,2211-2855,1049
2019,2211-9264,359
2019,2212-134X,205
2019,2212-5558,118
2019,2213-2600,273
2019,2213-333X,280
2019,2352-4855,229
2019,2352-5800,99
2019,2352-6734,45
2019,2405-8297,430
2019,2444-3824,160
2019,2468-0451,76
2019,8756-3282,375
2019,1631-0705,84
2019,0019-8501,234
2019,2213-2198,696
2019,0167-9473,167
2019,1550-7424,136
2019,0167-8809,304
2019,0305-0548,260
2019,0191-8869,611
2019,0020-1383,553
2019,0890-5096,834
2019,0960-0760,290
2019,0924-2244,343
2019,0378-7788,702
2019,0095-4470,61
2019,1463-5003,97
2019,1499-4046,524
2019,0022-3115,581
2019,0010-4655,315
2019,1872-4973,197
2019,0749-0720,54
2019,0167-6911,155
2019,0014-3057,721
2019,0002-9149,727
2019,0002-9610,610
2019,0003-3472,289
2019,0003-3928,102
2019,0003-9993,1037
2019,0005-7916,79
2019,0006-291X,1967
2019,0007-0912,507
2019,0011-2240,323
2019,0014-2999,716
2019,0014-4827,402
2019,0016-3287,135
2019,0017-9310,1919
2019,0020-0255,896
2019,0022-3476,830
2019,0022-3956,271
2019,0022-3999,377
2019,0022-4375,113
2019,0023-6438,1145
2019,0025-326X,814
2019,0025-6196,478
2019,0026-2692,222
2019,0027-9684,99
2019,0028-3908,437
2019,0030-4026,1953
2019,0030-6665,137
2019,0031-3025,614
2019,0032-3861,965
2019,0038-0121,128
2019,0038-0814,206
2019,0039-128X,179
2019,0040-4039,963
2019,0040-6031,274
2019,0045-7906,272
2019,0079-6107,126
2019,0079-6425,65
2019,0091-3057,141
2019,0095-4543,78
2019,0099-2399,294
2019,0142-9418,441
2019,0143-7208,906
2019,0147-9571,156
2019,0161-5890,307
2019,0161-6420,510
2019,0161-813X,142
2019,0165-5728,209
2019,0165-9936,402
2019,0166-8641,404
2019,0167-4889,197
2019,0167-6105,256
2019,0167-6636,266
2019,0167-8191,101
2019,0167-8442,261
2019,0168-1591,162
2019,0168-1656,528
2019,0168-583X,674
2019,0168-8278,2211
2019,0169-7722,93
2019,0196-0644,963
2019,0196-6553,604
2019,0197-0186,264
2019,0197-4580,337
2019,0210-5705,160
2019,0242-6498,99
2019,0248-8663,864
2019,0255-2701,270
2019,0260-8774,383
2019,0261-5177,260
2019,0261-5614,1420
2019,0263-2373,94
2019,0266-1144,99
2019,0266-4356,593
2019,0268-0033,278
2019,0268-005X,743
2019,0272-5231,84
2019,0272-7714,458
2019,0273-2300,252
2019,0278-4165,90
2019,0300-2896,326
2019,0300-9440,592
2019,0304-4068,86
2019,0304-4149,246
2019,0304-422X,74
2019,0305-0483,241
2019,0305-1978,120
2019,0305-9006,27
2019,0306-4522,657
2019,0309-1708,219
2019,0344-0338,442
2019,0363-5023,343
2019,0368-2048,113
2019,0375-9474,411
2019,0375-9601,684
2019,0376-8716,522
2019,0377-0427,614
2019,0377-8398,65
2019,0378-1135,361
2019,0378-3758,90
2019,0378-3782,195
2019,0378-4320,230
2019,0379-0738,492
2019,0380-1330,151
2019,0584-8547,159
2019,0733-5210,198
2019,0735-1097,5466
2019,0736-4679,554
2019,0749-6419,202
2019,0883-5403,777
2019,0883-9441,316
2019,0886-7798,382
2019,0887-2333,299
2019,0887-8994,257
2019,0888-7543,234
2019,0889-5406,358
2019,0889-8529,86
2019,0889-8588,110
2019,0890-6238,253
2019,0891-5849,916
2019,0893-6080,244
2019,0898-1221,562
2019,0899-5885,68
2019,0914-5087,180
2019,0917-2394,28
2019,0920-5861,1085
2019,0924-2716,234
2019,0927-0256,628
2019,0927-5371,88
2019,0927-5398,65
2019,0929-1393,263
2019,0954-349X,125
2019,0958-1669,173
2019,0959-1524,188
2019,0959-4388,166
2019,0967-5868,698
2019,0968-0896,584
2019,0969-5931,111
2019,0987-7053,284
2019,1001-6279,63
2019,1041-6080,107
2019,1047-2797,242
2019,1052-3057,605
2019,1058-2746,526
2019,1080-6032,107
2019,1084-9521,260
2019,1089-8603,116
2019,1120-1797,474
2019,1166-3413,137
2019,1297-319X,208
2019,1350-4177,506
2019,1359-5113,316
2019,1361-9209,293
2019,1364-6826,189
2019,1364-8152,265
2019,1367-0484,281
2019,1369-5274,85
2019,1386-1425,1034
2019,1386-5056,226
2019,1388-1981,192
2019,1389-0417,157
2019,1424-3903,648
2019,1462-3889,113
2019,1466-8564,185
2019,1473-0502,203
2019,1566-7367,310
2019,1617-1381,81
2019,1631-0683,105
2019,1674-2052,167
2019,1687-1979,48
2019,1701-2163,495
2019,1734-1140,211
2019,1750-5836,288
2019,1751-7214,83
2019,1755-5345,37
2019,1761-7227,98
2019,1874-4907,194
2019,1875-1768,353
2019,1875-5364,108
2019,1876-3820,130
2019,1877-0517,407
2019,1877-7821,185
2019,1879-7261,126
2019,1879-9817,100
2019,1934-5925,228
2019,1939-8654,491
2019,2210-6561,109
2019,2211-3398,84
2019,2211-4645,64
2019,2212-0416,164
2019,2212-4292,120
2019,2212-4403,604
2019,2213-297X,15
2019,2214-6296,282
2019,2215-1532,84
2019,2352-0078,182
2019,2352-2267,47
2019,2451-8476,86
2019,2530-0164,122
2019,2542-3606,62
2019,2214-3912,88
2019,0165-0327,1136
2019,0012-821X,535
2019,0149-7189,125
2019,2213-4344,31
2019,1097-2765,423
2019,1875-9521,38
2019,1360-1385,151
2019,0749-3797,346
2019,0959-8049,558
2019,1462-9011,251
2019,0737-0806,444
2019,1369-8486,51
2019,0002-9297,242
2019,0029-8018,1000
2019,0006-8993,547
2019,1542-3565,930
2019,0021-9797,1548
2018,1055-7903,369
2018,1056-8719,262
2018,1094-9194,56
2018,1161-0301,150
2018,1226-8615,213
2018,1270-9638,524
2018,1340-3540,69
2018,1353-8292,153
2018,1359-4311,1669
2018,1359-6446,241
2018,1359-8368,724
2018,1364-0321,1170
2018,1385-8947,2186
2018,1386-1425,1124
2018,1387-7003,366
2018,1389-1286,316
2018,1434-8411,512
2018,1440-2440,460
2018,1467-8039,66
2018,1472-9792,150
2018,1474-4422,306
2018,1521-6926,63
2018,1525-7304,197
2018,1526-0542,65
2018,1537-5110,216
2018,1544-3191,182
2018,1544-6123,165
2018,1567-1739,255
2018,1567-5769,521
2018,1568-4946,724
2018,1568-9972,167
2018,1569-4410,80
2018,1570-8667,36
2018,1572-1000,234
2018,1574-9541,108
2018,1615-9071,124
2018,1624-5687,73
2018,1629-6583,139
2018,1631-0713,70
2018,1631-0748,162
2018,1644-9665,145
2018,1699-258X,177
2018,1701-2163,460
2018,1740-1445,85
2018,1742-7061,621
2018,1755-5345,41
2018,1769-7212,176
2018,1769-7255,493
2018,1865-9217,107
2018,1875-5100,447
2018,1877-7503,239
2018,1877-9166,34
2018,1878-6529,34
2018,1879-7261,111
2018,1896-1126,59
2018,1931-7204,274
2018,1939-8654,202
2018,2095-4956,182
2018,2095-4964,59
2018,2152-2650,533
2018,2210-271X,263
2018,2211-6923,46
2018,2212-134X,201
2018,2212-2672,734
2018,2212-4403,1028
2018,2212-5558,116
2018,2212-8689,42
2018,2213-2198,470
2018,2213-2945,251
2018,2213-333X,258
2018,2213-5383,57
2018,2214-1405,225
2018,2214-5400,198
2018,2214-9635,39
2018,2253-8089,88
2018,2352-0817,73
2018,2352-2143,93
2018,2352-3018,181
2018,2352-4677,62
2018,2352-4928,197
2018,2352-7102,252
2018,2405-4569,200
2018,2405-8033,110
2018,2452-2139,87
2018,2468-7847,121
2018,2468-7855,133
2018,8755-7223,109
2018,0048-9697,4334
2018,0025-3227,196
2018,0828-282X,794
2018,0010-9452,313
2018,1755-0084,35
2018,0304-4076,140
2018,1473-3099,515
2018,0090-8258,964
2018,0378-7753,1246
2018,1090-0233,169
2018,2215-0366,338
2018,0896-6273,529
2018,1934-1482,590
2018,0925-8388,3918
2018,0378-4371,1616
2018,0025-5408,674
2018,0265-931X,287
2018,0022-247X,996
2018,0010-4485,103
2018,0013-4686,2280
2018,2212-6864,62
2018,0378-7788,866
2018,0022-0302,1023
2018,0022-202X,2115
2018,0925-4439,397
2018,1078-5884,452
2018,1098-3015,4808
2018,1198-743X,360
2018,1365-182X,2334
2018,1556-0864,2819
2018,1877-0657,1374
2018,2405-500X,272
2018,0005-2728,501
2018,1934-5909,236
2018,1535-6108,192
2018,0735-1097,5983
2018,0092-8674,648
2018,1097-2765,413
2018,2451-9456,168
2018,1936-8798,782
2018,0923-7534,4100
2018,0001-6918,196
2018,0001-8708,427
2018,0001-8791,109
2018,0002-8177,407
2018,0002-9149,986
2018,0003-9861,271
2018,0003-9993,1083
2018,0004-3702,70
2018,0005-1098,542
2018,0006-291X,2597
2018,0008-4182,228
2018,0010-2180,479
2018,0010-7824,345
2018,0010-938X,519
2018,0011-5029,86
2018,0012-3692,1611
2018,0012-821X,633
2018,0012-8252,234
2018,0013-9351,508
2018,0014-2921,139
2018,0014-4827,452
2018,0015-0282,1664
2018,0016-3287,105
2018,0016-5107,1813
2018,0017-9310,1717
2018,0020-1383,466
2018,0021-8693,549
2018,0021-9673,854
2018,0021-9797,1272
2018,0022-0248,440
2018,0022-2313,878
2018,0022-2828,484
2018,0022-2836,424
2018,0022-3115,749
2018,0022-3549,364
2018,0022-460X,632
2018,0022-4898,39
2018,0022-5223,1642
2018,0024-3205,690
2018,0025-326X,923
2018,0025-6196,382
2018,0025-7753,330
2018,0026-0495,200
2018,0028-3932,395
2018,0029-8018,937
2018,0030-3992,595
2018,0030-4018,1033
2018,0030-4026,1784
2018,0031-9384,383
2018,0031-9422,278
2018,0032-3861,993
2018,0034-4257,534
2018,0034-9356,126
2018,0037-0738,180
2018,0039-128X,154
2018,0039-6060,612
2018,0039-6109,133
2018,0040-4020,1034
2018,0040-4039,1161
2018,0040-8166,99
2018,0042-207X,640
2018,0043-1354,870
2018,0044-8486,681
2018,0045-6535,2205
2018,0045-7906,521
2018,0048-7120,49
2018,0079-6611,173
2018,0091-6749,1726
2018,0091-7435,339
2018,0093-6413,127
2018,0093-691X,478
2018,0094-5765,561
2018,0097-3165,139
2018,0098-1354,347
2018,0121-8123,46
2018,0140-6736,1933
2018,0140-9883,354
2018,0141-0296,1083
2018,0141-1136,238
2018,0141-1187,199
2018,0141-8130,2582
2018,0141-9331,130
2018,0142-0615,501
2018,0142-9418,464
2018,0142-9612,639
2018,0143-4179,73
2018,0143-7208,671
2018,0143-7496,224
2018,0144-8617,1317
2018,0145-2134,351
2018,0161-4754,116
2018,0161-5890,531
2018,0162-0134,271
2018,0165-0270,313
2018,0165-1765,441
2018,0165-2370,294
2018,0166-2236,133
2018,0166-3542,244
2018,0166-4328,478
2018,0167-6393,120
2018,0167-7322,1688
2018,0167-8191,79
2018,0167-8760,683
2018,0168-583X,440
2018,0168-8227,466
2018,0168-8510,196
2018,0168-9002,1058
2018,0169-1317,499
2018,0169-1368,379
2018,0169-4332,3483
2018,0169-5347,138
2018,0176-1617,220
2018,0181-5512,315
2018,0190-7409,518
2018,0190-9622,2035
2018,0191-8869,564
2018,0196-0644,964
2018,0196-8904,1199
2018,0198-8859,359
2018,0213-005X,183
2018,0260-8774,384
2018,0261-5177,239
2018,0263-8223,1310
2018,0264-2751,261
2018,0266-352X,271
2018,0266-3538,500
2018,0267-3649,139
2018,0269-7491,1506
2018,0272-8842,3189
2018,0277-9536,534
2018,0278-2391,633
2018,0278-5919,73
2018,0300-2896,258
2018,0300-8932,334
2018,0300-9440,376
2018,0301-0082,65
2018,0301-4797,1223
2018,0301-5629,326
2018,0301-679X,527
2018,0303-8467,398
2018,0304-3800,281
2018,0304-3835,566
2018,0304-3894,920
2018,0304-3940,726
2018,0304-4068,94
2018,0304-4203,122
2018,0304-5412,203
2018,0305-0483,123
2018,0306-2619,1843
2018,0306-4549,665
2018,0306-9192,122
2018,0307-904X,524
2018,0308-8146,1952
2018,0309-1740,332
2018,0360-1323,609
2018,0360-3016,3330
2018,0360-3199,2295
2018,0361-9230,244
2018,0363-5023,429
2018,0376-7388,951
2018,0376-8716,479
2018,0377-0427,589
2018,0377-2217,730
2018,0378-1119,1077
2018,0378-2166,181
2018,0378-3820,412
2018,0378-3839,169
2018,0378-4266,255
2018,0378-4274,1161
2018,0378-7796,391
2018,0378-8741,540
2018,0399-077X,470
2018,0720-048X,380
2018,0730-725X,217
2018,0731-7085,746
2018,0733-8635,82
2018,0736-4679,592
2018,0737-0806,452
2018,0738-3991,308
2018,0748-7983,833
2018,0749-6036,597
2018,0749-8063,764
2018,0882-4010,642
2018,0883-5403,804
2018,0887-2333,256
2018,0890-5096,699
2018,0890-8567,1359
2018,0891-8422,68
2018,0892-6875,388
2018,0894-1777,413
2018,0920-3796,674
2018,0920-4105,917
2018,0920-5861,645
2018,0921-4488,228
2018,0921-5093,1439
2018,0921-8009,407
2018,0921-8831,395
2018,0924-2716,277
2018,0924-8579,337
2018,0925-3467,795
2018,0925-4005,2684
2018,0925-5273,309
2018,0925-9635,289
2018,0926-5805,324
2018,0926-6690,989
2018,0927-0256,753
2018,0927-5371,112
2018,0927-7765,747
2018,0928-0987,510
2018,0928-4931,635
2018,0929-693X,108
2018,0932-4739,58
2018,0949-2658,220
2018,0950-0618,2969
2018,0955-0674,121
2018,0955-2863,229
2018,0956-5663,927
2018,0957-5820,362
2018,0959-6526,3862
2018,0960-0779,459
2018,0960-1481,1154
2018,0960-894X,789
2018,0960-8966,718
2018,0963-9969,751
2018,0964-3397,105
2018,0964-5691,369
2018,0966-6362,782
2018,0966-6923,227
2018,0967-0637,142
2018,0968-4328,126
2018,0976-5662,111
2018,0981-9428,434
2018,1001-0742,339
2018,1010-6030,696
2018,1011-1344,377
2018,1040-6190,140
2018,1041-6080,144
2018,1043-4666,372
2018,1043-951X,131
2018,1044-579X,125
2018,1047-8477,168
2018,1050-4648,673
2018,1052-3057,620
2018,1052-5157,72
2018,1057-5219,127
2018,1058-2746,471
2018,1072-7515,1594
2018,1075-9964,150
2018,1076-6332,240
2018,1091-8531,528
2018,1094-2025,56
2018,1096-7516,28
2018,1146-609X,107
2018,1268-7731,112
2018,1286-4579,99
2018,1290-0729,439
2018,1297-319X,179
2018,1357-2725,211
2018,1359-6454,805
2018,1360-8592,238
2018,1361-9209,313
2018,1365-1609,276
2018,1369-5274,127
2018,1369-8478,309
2018,1383-5718,121
2018,1389-1723,217
2018,1462-3889,94
2018,1464-343X,290
2018,1470-2045,636
2018,1473-0502,190
2018,1499-2671,390
2018,1526-8209,250
2018,1529-9430,827
2018,1538-5442,74
2018,1547-5271,411
2018,1549-9634,581
2018,1551-7144,222
2018,1567-1348,383
2018,1590-8658,1005
2018,1618-8667,211
2018,1631-073X,198
2018,1637-4088,52
2018,1748-0132,86
2018,1751-7214,75
2018,1756-2317,76
2018,1871-1014,64
2018,1871-5192,281
2018,1871-6784,588
2018,1872-2067,211
2018,1872-5805,45
2018,1874-3900,255
2018,1874-4907,158
2018,1877-0320,286
2018,1877-1327,80
2018,1877-7821,160
2018,1878-6146,130
2018,1878-8181,247
2018,1885-5857,324
2018,1887-8369,19
2018,1889-1837,37
2018,2210-6707,486
2018,2210-7789,601
2018,2211-0348,386
2018,2211-3649,65
2018,2212-1447,50
2018,2212-4209,323
2018,2213-2600,299
2018,2213-3437,782
2018,2214-7144,168
2018,2214-8604,323
2018,2254-8874,108
2018,2352-4316,103
2018,2352-5568,156
2018,2405-4690,202
2018,8756-3282,346
2018,0301-4207,175
2018,0965-2299,193
2018,0022-5193,444
2018,0146-6380,194
2018,2352-152X,269
2018,0006-3207,456
2018,0743-0167,188
2018,1525-5050,498
2018,0370-1573,91
2018,1383-5866,763
2018,0167-4889,183
2018,1879-7296,140
2018,1936-878X,352
2018,0006-3495,3982
2018,0960-9822,905
2018,0002-9440,293
2018,0042-6989,121
2018,0001-706X,356
2018,0002-8703,295
2018,0002-9394,440
2018,0002-9610,509
2018,0003-4975,961
2018,0003-682X,385
2018,0005-7894,89
2018,0006-3223,1573
2018,0008-6223,1071
2018,0009-9120,239
2018,0010-4825,319
2018,0010-8545,265
2018,0011-8486,330
2018,0011-9164,438
2018,0013-7006,116
2018,0014-3057,570
2018,0014-4886,226
2018,0016-0032,448
2018,0016-2361,1705
2018,0016-7061,459
2018,0016-7185,251
2018,0018-506X,188
2018,0019-1035,420
2018,0020-7462,200
2018,0021-8502,158
2018,0021-9150,1335
2018,0021-9614,324
2018,0022-0000,75
2018,0022-0736,374
2018,0022-1031,162
2018,0022-1759,168
2018,0022-1910,138
2018,0022-2860,1233
2018,0022-3468,541
2018,0022-3476,904
2018,0022-3913,401
2018,0023-6438,946
2018,0029-5493,476
2018,0031-0182,476
2018,0032-0633,216
2018,0032-5910,933
2018,0033-3506,301
2018,0033-8338,83
2018,0038-092X,1082
2018,0038-1098,232
2018,0040-6090,678
2018,0041-1345,855
2018,0043-1648,276
2018,0044-5231,90
2018,0045-7825,459
2018,0045-7930,426
