issued_year,issn,articles
2016,0309-1708,257
2016,0360-3199,2370
2016,0360-5442,1591
2016,0361-9230,203
2016,0365-6691,173
2016,0368-2048,97
2016,0375-6742,133
2016,0377-2217,694
2016,0378-1127,632
2016,0378-3812,624
2016,0378-4290,265
2016,0399-077X,459
2016,0720-048X,324
2016,0730-725X,192
2016,0731-7085,645
2016,0733-5210,200
2016,0733-8627,85
2016,0735-6757,941
2016,0738-081X,107
2016,0740-2570,71
2016,0882-5963,182
2016,0886-3350,440
2016,0886-7798,240
2016,0889-5406,383
2016,0889-8561,77
2016,0889-9746,159
2016,0891-5245,123
2016,0891-5849,1063
2016,0892-6875,251
2016,0894-7317,222
2016,0898-1221,385
2016,0898-6568,208
2016,0920-3796,643
2016,0920-5489,79
2016,0920-5861,577
2016,0921-4526,510
2016,0921-8009,199
2016,0921-8831,318
2016,0921-8890,175
2016,0924-0136,430
2016,0924-977X,1422
2016,0925-2312,1840
2016,0925-4005,1651
2016,0925-9635,258
2016,0926-3373,802
2016,0927-0248,604
2016,0928-0987,352
2016,0928-1258,190
2016,0928-4931,1164
2016,0939-6411,290
2016,0950-0618,1888
2016,0951-8320,238
2016,0952-8180,540
2016,0955-2863,222
2016,0955-7997,188
2016,0956-5663,1015
2016,0959-6526,2095
2016,0960-8524,1617
2016,0960-894X,1178
2016,0966-6362,657
2016,0966-842X,119
2016,0967-5868,554
2016,0969-806X,304
2016,1002-0721,180
2016,1007-5704,308
2016,1010-5182,303
2016,1011-1344,452
2016,1036-7314,86
2016,1047-9651,76
2016,1050-4648,803
2016,1051-0443,1123
2016,1051-2276,97
2016,1053-8100,153
2016,1064-7406,76
2016,1064-9689,76
2016,1071-9091,53
2016,1089-8603,79
2016,1090-3798,158
2016,1096-7176,120
2016,1259-4792,97
2016,1293-2558,216
2016,1359-1789,81
2016,1359-4311,1879
2016,1364-0321,1346
2016,1369-8001,396
2016,1384-1076,98
2016,1386-1425,586
2016,1387-1811,693
2016,1387-3806,175
2016,1424-3903,1363
2016,1440-2440,192
2016,1465-3249,439
2016,1467-8039,62
2016,1472-6483,249
2016,1538-4721,499
2016,1547-4127,72
2016,1550-7289,769
2016,1570-0232,619
2016,1570-677X,67
2016,1616-5047,131
2016,1701-2163,285
2016,1755-4586,50
2016,1770-9857,90
2016,1779-0123,311
2016,1871-6784,899
2016,1872-2040,89
2016,1876-1070,626
2016,1876-1399,103
2016,1877-0517,673
2016,1877-7503,123
2016,1878-6146,131
2016,2210-6707,171
2016,2210-7762,215
2016,2212-134X,123
2016,2212-2672,649
2016,2213-2600,329
2016,2213-8587,328
2016,2352-152X,113
2016,2352-3026,120
2016,2387-0206,410
2016,8756-3282,348
2016,0013-7944,315
2016,0016-5107,2082
2016,0022-0000,77
2016,0022-3476,971
2016,0024-3795,528
2016,0028-3908,449
2016,0041-624X,270
2016,0045-7949,173
2016,0079-6565,18
2016,0091-6749,1690
2016,0097-3165,71
2016,0143-7208,491
2016,0149-1970,232
2016,0164-1212,240
2016,0165-0114,256
2016,0167-1987,209
2016,0167-4730,59
2016,0167-4943,160
2016,0167-7322,1287
2016,0167-8140,2986
2016,0196-0644,992
2016,0196-8904,1013
2016,0272-6386,814
2016,0304-3940,802
2016,0304-4076,155
2016,0306-2619,1644
2016,0306-4522,698
2016,0308-8146,1982
2016,0360-3016,3202
2016,0360-8352,367
2016,0375-9601,721
2016,0734-9750,97
2016,0748-7983,1028
2016,0761-8425,875
2016,0884-2175,224
2016,0887-8994,267
2016,0894-1777,308
2016,0895-4356,342
2016,0925-3467,589
2016,0956-7135,614
2016,0959-9436,196
2016,0968-090X,235
2016,1053-0770,454
2016,1084-9521,223
2016,1090-7807,242
2016,1094-9968,29
2016,1357-2725,321
2016,1383-5866,483
2016,1469-0292,141
2016,1499-4046,545
2016,1525-8610,391
2016,1544-3191,132
2016,1699-258X,106
2016,1743-6095,786
2016,1933-2874,291
2016,2213-2198,315
2016,0168-8278,2126
2016,1473-3099,529
2016,0940-9602,147
2016,0022-4596,486
2016,1474-4422,359
2016,0161-5890,209
2016,1383-5718,127
2016,0749-3797,356
2016,0958-6946,189
2016,0039-9140,1074
2016,1095-6433,152
2016,0049-089X,94
2016,0016-6480,253
2016,0043-1648,295
2016,0009-8981,385
2016,0378-1135,301
2016,0732-8893,291
2016,0005-2728,549
2016,0022-202X,1891
2016,0167-4889,293
2016,1098-3015,4834
2016,1525-0016,1034
2016,1936-8798,816
2016,0042-6989,165
2016,1743-9191,1425
2016,0022-0302,955
2016,1631-0691,82
2016,0885-3924,868
2016,0196-4399,55
2016,0737-0806,560
2016,1268-7731,356
2016,1748-6815,360
2016,1872-2067,241
2016,0001-706X,320
2016,0002-9378,1760
2016,0002-9394,452
2016,0002-9610,403
2016,0003-4916,253
2016,0006-2952,270
2016,0007-4551,206
2016,0007-9820,123
2016,0008-4182,211
2016,0009-9120,258
2016,0010-4825,278
2016,0011-2275,144
2016,0017-9310,1212
2016,0020-0255,816
2016,0021-9517,370
2016,0021-9614,429
2016,0022-0248,535
2016,0022-3956,213
2016,0022-3999,286
2016,0022-510X,679
2016,0024-3205,505
2016,0025-326X,753
2016,0025-7753,427
2016,0028-3932,421
2016,0031-3025,574
2016,0031-3203,327
2016,0032-0633,158
2016,0032-3861,1025
2016,0038-0814,196
2016,0039-6060,554
2016,0040-1625,321
2016,0040-5957,112
2016,0041-0101,591
2016,0042-207X,314
2016,0049-3848,494
2016,0085-2538,466
2016,0091-7435,356
2016,0093-691X,513
2016,0093-7754,112
2016,0095-4543,77
2016,0096-3003,651
2016,0141-3910,329
2016,0142-0615,468
2016,0142-1123,407
2016,0143-8166,220
2016,0143-974X,270
2016,0148-2963,761
2016,0150-9861,197
2016,0161-4754,89
2016,0162-0134,266
2016,0165-0270,305
2016,0165-0378,462
2016,0165-232X,156
2016,0165-6147,98
2016,0166-0934,247
2016,0166-218X,370
2016,0166-3542,219
2016,0167-6105,134
2016,0168-1656,782
2016,0168-583X,634
2016,0169-1317,395
2016,0169-1368,271
2016,0176-2680,55
2016,0196-6553,738
2016,0210-4806,110
2016,0223-5234,763
2016,0254-0584,724
2016,0260-8774,381
2016,0261-5614,942
2016,0263-2241,787
2016,0264-410X,978
2016,0266-1144,87
2016,0266-3538,345
2016,0269-7491,947
2016,0272-2712,73
2016,0272-7358,84
2016,0272-7757,93
2016,0273-2300,298
2016,0278-4343,167
2016,0300-9572,581
2016,0301-679X,614
2016,0305-1978,202
2016,0306-9877,314
2016,0378-4320,277
2016,0378-4371,1071
2016,0378-7753,1652
2016,0378-8741,717
2016,0385-8146,131
2016,0393-0440,169
2016,0736-4679,619
2016,0828-282X,918
2016,0883-9441,304
2016,0889-1575,168
2016,0896-8446,345
2016,0901-5027,260
2016,0920-4105,426
2016,0920-9964,355
2016,0921-5093,1428
2016,0924-4247,525
2016,0926-6690,729
2016,0926-9851,250
2016,0927-7757,824
2016,0927-7765,739
2016,0936-6555,236
2016,0949-328X,126
2016,0953-6205,322
2016,0955-5986,112
2016,0958-2592,47
2016,0959-440X,142
2016,0959-8049,1672
2016,0964-5691,232
2016,0965-9978,127
2016,0968-0160,230
2016,0973-0826,70
2016,0985-0562,288
2016,0987-7053,259
2016,0987-7983,51
2016,1040-6182,983
2016,1047-2797,169
2016,1047-8477,191
2016,1049-9644,180
2016,1051-1377,27
2016,1053-4822,30
2016,1060-1872,50
2016,1072-7515,1217
2016,1075-9964,152
2016,1078-1439,272
2016,1080-6032,155
2016,1081-1206,799
2016,1087-1845,96
2016,1089-9472,245
2016,1092-9134,87
2016,1156-5233,160
2016,1226-8615,164
2016,1258-780X,176
2016,1290-0729,323
2016,1342-937X,254
2016,1359-6454,830
2016,1368-8375,220
2016,1386-9477,439
2016,1389-1723,229
2016,1434-8411,234
2016,1462-9011,266
2016,1464-343X,293
2016,1470-160X,726
2016,1470-2045,659
2016,1479-666X,66
2016,1525-5050,447
2016,1526-8209,108
2016,1537-5110,194
2016,1542-3565,460
2016,1567-1348,457
2016,1572-1000,157
2016,1618-8667,186
2016,1627-4830,70
2016,1751-7214,72
2016,1765-4629,56
2016,1769-7255,464
2016,1773-2247,157
2016,1871-1014,67
2016,1871-1413,222
2016,1875-9181,65
2016,1876-2018,155
2016,1876-3820,327
2016,1877-3435,107
2016,2173-5727,61
2016,2211-1042,192
2016,2211-2855,594
2016,2212-0122,12
2016,2212-0416,145
2016,2212-4403,411
2016,2213-0780,39
2016,2213-3437,516
2016,2213-5383,26
2016,2214-1405,184
2016,2214-6350,41
2016,2352-7102,130
2016,2405-4577,256
2016,2405-8033,93
2016,2444-3824,120
2016,2452-0144,85
2016,2452-2198,23
2016,2468-1229,317
2016,0002-8703,297
2016,0006-8993,664
2016,0021-8693,468
2016,0021-9150,1485
2016,0038-092X,708
2016,0140-9883,285
2016,0161-6420,599
2016,0167-2738,322
2016,0273-1177,461
2016,0302-2838,585
2016,0890-8567,1377
2016,0956-053X,534
2016,0960-8966,604
2016,1359-835X,400
2016,1359-8368,809
2016,1366-5545,159
2016,1386-5056,149
2016,1476-945X,60
2016,1532-3382,112
2016,1566-1199,518
2016,1569-9048,182
2016,1746-0689,38
2016,1775-8785,605
2016,1885-5857,347
2016,2210-6561,37
2016,2211-8160,633
2016,2214-3912,44
2016,0738-3991,285
2016,0168-0102,129
2016,2352-4073,37
2016,0025-3227,170
2016,0924-2716,185
2016,0020-7519,107
2016,1631-073X,232
2016,1573-5214,46
2016,0278-2626,93
2016,0046-8177,334
2016,2352-4677,54
2016,2352-2496,20
2016,0022-0396,520
2016,0197-4580,450
2016,0040-4020,1073
2016,1532-0464,220
2016,0301-0104,241
2016,0888-7543,67
2016,1569-1993,612
2016,0741-5214,1422
2016,0020-7683,439
2016,1631-0748,211
2016,0923-7534,3282
2016,1934-1482,776
2016,0197-4556,66
2016,2405-4690,112
2016,0001-8686,94
2016,0003-3472,363
2016,0003-4975,1208
2016,0008-6215,241
2016,0010-2180,370
2016,0010-7824,383
2016,0012-365X,332
2016,0013-7952,239
2016,0013-9351,446
2016,0016-0032,265
2016,0016-7185,189
2016,0020-7489,240
2016,0021-9975,261
2016,0022-3115,593
2016,0022-460X,562
2016,0023-6438,806
2016,0025-5564,159
2016,0026-265X,358
2016,0090-4295,790
2016,0095-0696,53
2016,0099-2399,332
2016,0149-7634,315
2016,0161-8938,74
2016,0163-4453,215
2016,0165-2125,100
2016,0166-2236,84
2016,0167-7152,280
2016,0195-6671,243
2016,0196-0709,134
2016,0196-9781,180
2016,0211-139X,98
2016,0242-3960,85
2016,0263-8231,354
2016,0266-4356,643
2016,0277-5387,691
2016,0278-5919,75
2016,0300-8932,363
2016,0303-8467,326
2016,0304-3835,507
2016,0304-405X,123
2016,0305-0548,222
2016,0306-4530,531
2016,0306-4549,490
2016,0306-9192,94
2016,0309-1740,457
2016,0360-1323,395
2016,0375-6505,126
2016,0378-7796,425
2016,0378-8733,66
2016,0379-7112,86
2016,0735-1933,252
2016,0740-8188,48
2016,0747-5632,867
2016,0882-4010,296
2016,0890-5096,491
2016,0952-3278,88
2016,0955-2219,510
2016,0957-5820,250
2016,0959-3780,121
2016,0960-1481,1182
2016,0963-8695,88
2016,0966-9795,152
2016,0967-0637,157
2016,0968-0896,692
2016,0973-6883,239
2016,1040-6190,139
2016,1043-4666,267
2016,1046-5928,196
2016,1047-3203,286
2016,1059-0560,187
2016,1067-991X,138
2016,1076-6332,239
2016,1079-9796,107
2016,1090-0233,303
2016,1096-7192,500
2016,1120-1797,1494
2016,1130-8621,77
2016,1138-3593,221
2016,1164-5563,85
2016,1278-3218,342
2016,1341-321X,171
2016,1359-6462,499
2016,1364-6826,192
2016,1388-2457,1479
2016,1471-4914,111
2016,1529-9430,1289
2016,1557-3087,50
2016,1566-7367,327
2016,1567-1739,258
2016,1579-2129,231
2016,1698-031X,26
2016,1749-7728,21
2016,1751-6161,475
2016,1871-403X,104
2016,1874-3919,371
2016,1877-959X,197
2016,1931-7204,193
2016,1988-8856,57
2016,2095-4956,143
2016,2212-1447,34
2016,2212-5345,85
2016,2352-4855,141
2016,1382-6689,287
2016,2405-6014,731
2016,0001-4575,343
2016,0002-9343,546
2016,0008-8846,210
2016,0022-247X,914
2016,0038-1101,220
2016,0141-8130,1175
2016,0146-6380,142
2016,0167-8809,518
2016,0300-483X,159
2016,0301-4797,770
2016,0305-750X,223
2016,0376-6357,179
2016,0378-4274,1912
2016,0749-0720,61
2016,0749-8063,556
2016,0926-860X,450
2016,0927-0256,602
2016,1049-3867,102
2016,1075-2935,28
2016,1226-086X,427
2016,1350-4177,284
2016,1350-4487,189
2016,1551-7136,65
2016,1555-4155,284
2016,1571-0645,139
2016,1578-2190,217
2016,1874-9399,152
2016,2173-5743,105
2016,2210-7789,288
2016,2214-6296,217
2016,2253-654X,104
2016,1369-7021,212
2016,1094-2025,51
2016,1872-4973,183
2016,2211-0348,165
2016,2095-9273,249
2016,2451-9456,200
2016,0966-6923,194
2016,0002-9297,283
2016,0264-8377,454
2016,1364-8152,296
2016,0375-9474,339
2016,0304-4149,150
2016,1385-8947,1638
2016,0169-2070,108
2016,2211-9264,294
2016,0914-5087,194
2016,1059-1311,177
2016,0092-8674,716
2016,0007-0912,558
2016,2213-1779,180
2016,1507-1367,90
2016,0954-6111,237
2016,1525-1578,109
2016,0004-3702,83
2016,0006-3223,432
2016,0009-9260,357
2016,0010-0277,250
2016,0011-5029,81
2016,0012-821X,557
2016,0013-7006,133
2016,0014-3057,472
2016,0014-4827,317
2016,0015-0282,1617
2016,0016-2361,1324
2016,0019-8501,143
2016,0020-1693,521
2016,0020-7403,353
2016,0021-9797,870
2016,0022-1910,104
2016,0022-3549,439
2016,0022-4405,42
2016,0029-5493,466
2016,0039-6109,130
2016,0040-4039,1430
2016,0040-6031,256
2016,0093-934X,82
2016,0142-9418,306
2016,0143-4004,530
2016,0144-8188,41
2016,0165-4101,53
2016,0168-9452,215
2016,0169-7439,211
2016,0171-2985,374
2016,0242-6498,97
2016,0261-5177,232
2016,0264-8172,338
2016,0265-931X,337
2016,0277-3791,405
2016,0278-2391,607
2016,0278-4319,124
2016,0304-4238,516
2016,0344-0338,190
2016,0363-5023,392
2016,0367-2530,121
2016,0378-7788,950
2016,0380-1330,157
2016,0387-7604,191
2016,0584-8547,184
2016,0741-8329,93
2016,0749-0712,76
2016,0888-3270,438
2016,0889-857X,74
2016,0890-8508,66
2016,0917-2394,21
2016,0929-1393,280
2016,0950-5849,126
2016,0950-7051,406
2016,0958-9465,190
2016,0959-4388,139
2016,0967-0645,204
2016,0969-8043,491
2016,1004-9541,230
2016,1005-0302,192
2016,1041-6080,253
2016,1044-5803,363
2016,1053-2498,1440
2016,1053-4296,45
2016,1054-139X,480
2016,1055-7903,356
2016,1056-8727,275
2016,1091-8531,413
2016,1096-6374,65
2016,1350-6307,278
2016,1367-9120,303
2016,1387-7003,340
2016,1389-1286,291
2016,1443-9506,1215
2016,1466-8564,273
2016,1468-1218,120
2016,1477-5131,316
2016,1524-9042,104
2016,1537-1891,147
2016,1538-5442,100
2016,1558-7673,185
2016,1568-4946,596
2016,1568-7864,145
2016,1572-3089,88
2016,1734-1140,196
2016,1750-5836,390
2016,1752-9298,58
2016,1769-7212,114
2016,1872-2032,74
2016,1876-2859,296
2016,1877-7821,197
2016,1878-786X,204
2016,0001-8708,403
2016,0010-8545,228
2016,0014-2921,158
2016,0026-2714,431
2016,0034-4257,450
2016,0098-1354,301
2016,0166-445X,308
2016,0166-5162,193
2016,0891-4222,242
2016,0897-1897,186
2016,0926-5805,191
2016,1071-9164,996
2016,1270-9638,351
2016,1367-5931,116
2016,1386-6532,555
2016,1526-6125,136
2016,1549-9634,584
2016,1590-8658,900
2016,1744-3881,91
2016,2210-271X,323
2016,2212-9588,33
2016,2352-801X,16
2016,0360-1315,162
2016,0378-3839,138
2016,0896-8411,126
2016,2212-4209,148
2016,0165-2478,161
2016,0944-2006,66
2016,0022-3697,219
2016,0961-9534,318
2016,0016-7037,484
2016,1046-2023,316
2016,0925-4773,35
2016,1078-5884,490
2016,1083-8791,1137
2016,1875-2136,100
2016,1936-878X,283
2016,0969-2126,248
2016,0006-3495,3821
2016,0160-7383,158
2016,0003-4266,1020
2016,0003-682X,305
2016,0003-6870,175
2016,0006-3207,384
2016,0011-9164,350
2016,0020-1383,702
2016,0020-7063,41
2016,0022-4073,328
2016,0031-9406,451
2016,0043-1354,906
2016,0140-3664,241
2016,0140-7007,301
2016,0143-6228,147
2016,0143-7496,194
2016,0144-8617,1241
2016,0161-813X,186
2016,0165-1684,347
2016,0165-2370,269
2016,0167-739X,260
2016,0168-1699,311
2016,0169-5002,434
2016,0169-555X,358
2016,0181-5512,265
2016,0195-6701,300
2016,0261-2194,272
2016,0275-5319,146
2016,0301-472X,372
2016,0306-4603,259
2016,0376-7388,798
2016,0378-4754,145
2016,0379-0738,433
2016,0398-7620,652
2016,0883-5403,672
2016,0890-6238,307
2016,0891-0618,109
2016,0899-7071,227
2016,0921-5107,155
2016,0921-8181,148
2016,0964-8305,284
2016,0967-0661,191
2016,0969-6989,174
2016,0972-978X,96
2016,1001-6279,45
2016,1064-7481,377
2016,1067-2516,295
2016,1074-7427,207
2016,1096-4959,110
2016,1269-1763,27
2016,1350-4533,198
2016,1359-5113,258
2016,1471-5953,156
2016,1525-7304,112
2016,1550-8307,93
2016,1567-5769,418
2016,1572-6657,613
2016,1636-6522,69
2016,1644-9665,94
2016,1769-4493,166
2016,1871-1871,83
2016,1875-5100,829
2016,1877-9182,102
2016,1878-6529,37
2016,1878-7789,31
2016,1878-9730,79
2016,1879-3991,70
2016,1879-4068,77
2016,1879-7261,123
2016,1896-1126,55
2016,1939-8654,152
2016,2173-5786,110
2016,2212-4268,65
2016,2212-6864,48
2016,2214-5400,82
2016,2215-0366,375
2016,2352-3018,137
2016,2405-8513,21
2016,0002-8177,236
2016,0002-9629,249
2016,0005-7894,79
2016,0022-1996,104
2016,0091-3057,118
2016,0142-9612,690
2016,0167-7187,50
2016,0168-1702,282
2016,0191-2615,197
2016,0198-8859,428
2016,0211-5638,48
2016,0304-3975,465
2016,0304-5412,201
2016,0306-4573,75
2016,0376-8716,448
2016,0378-5955,219
2016,0740-0020,184
2016,0747-7171,92
2016,0924-8579,262
2016,0957-4158,137
2016,0966-3274,57
2016,0981-9428,378
2016,1042-4431,72
2016,1045-1056,84
2016,1045-4527,68
2016,1058-9813,85
2016,1071-5797,89
2016,1546-1440,411
2016,1551-7411,215
2016,1567-7249,83
2016,1755-0084,90
2016,1755-5345,24
2016,2152-2650,360
2016,2213-2945,298
2016,1631-0713,74
2016,0377-0273,282
2016,0022-1759,123
2016,0168-8510,169
2016,1472-9792,156
2016,0272-7714,311
2016,1063-5203,64
2016,1162-9088,36
2016,1934-5909,217
2016,1534-5807,300
2016,1535-6108,217
2016,1873-9652,61
2016,0003-4487,191
2016,0009-2541,352
2016,0010-4485,110
2016,0022-3913,338
2016,0024-4937,392
2016,0030-5898,109
2016,0031-9384,467
2016,0034-9356,118
2016,0035-3787,516
2016,0037-0738,223
2016,0039-6028,368
2016,0045-2068,117
2016,0048-3575,118
2016,0079-6425,51
2016,0092-6566,72
2016,0094-1298,96
2016,0098-2997,31
2016,0141-6359,178
2016,0149-7189,104
2016,0165-0327,767
2016,0165-1765,412
2016,0165-9936,318
2016,0166-4328,642
2016,0167-2789,157
2016,0167-8760,671
2016,0168-3659,594
2016,0262-8856,92
2016,0264-3707,85
2016,0278-6915,327
2016,0294-1260,114
2016,0304-3932,88
2016,0305-7488,145
2016,0308-597X,315
2016,0377-1237,161
2016,0378-1119,816
2016,0378-3774,337
2016,0378-4266,172
2016,0379-6779,380
2016,0515-3700,229
2016,0733-8635,86
2016,0734-743X,175
2016,0742-051X,198
2016,0743-0167,171
2016,0749-0704,69
2016,0749-6036,590
2016,0755-4982,282
2016,0765-1597,89
2016,0883-2927,161
2016,0889-1591,405
2016,0895-9811,147
2016,0927-5371,76
2016,0952-1976,195
2016,0958-1669,167
2016,0960-3085,132
2016,0963-9969,409
2016,1052-3057,520
2016,1055-3207,77
2016,1166-3413,125
2016,1360-8592,138
2016,1369-5266,127
2016,1471-4892,112
2016,1474-0346,57
2016,1542-0124,57
2016,1557-5063,68
2016,1744-165X,68
2016,1878-8181,140
2016,2050-0521,50
2016,2213-333X,146
2016,2214-8604,63
2016,2352-409X,445
2016,2352-5509,32
2016,2452-2139,18
2016,0003-9993,911
2016,0030-6665,144
2016,0034-5288,198
2016,0045-7930,278
2016,0141-0296,678
2016,0141-1187,155
2016,0141-9331,166
2016,0147-9571,69
2016,0167-8396,79
2016,0167-8442,149
2016,0171-9335,63
2016,0260-6917,349
2016,0266-352X,221
2016,0275-1062,44
2016,0278-6125,66
2016,0301-9322,182
2016,0893-9659,223
2016,0894-1130,121
2016,0923-1811,712
2016,0925-7535,250
2016,0925-7721,37
2016,0944-7113,202
2016,0955-470X,47
2016,0965-2299,136
2016,1055-8586,64
2016,1058-2746,439
2016,1169-8330,653
2016,1361-9209,178
2016,1499-2671,329
2016,1521-6942,75
2016,1547-5271,466
2016,1570-9639,179
2016,1865-9217,139
2016,2214-7144,121
2016,2405-500X,156
2016,0361-476X,41
2016,0887-2333,198
2016,1754-5048,121
2016,1878-450X,15
2016,1749-4613,15
2016,0021-8502,122
2016,0965-1748,123
2016,0010-4655,291
2016,0926-2040,34
2016,0925-4439,226
2016,1359-0286,43
2016,0264-9993,366
2016,0010-938X,443
2016,0020-0190,135
2016,0022-2313,797
2016,0033-8389,112
2016,0044-5231,62
2016,0094-114X,225
2016,0151-9638,1026
2016,0169-023X,34
2016,0195-6698,143
2016,0197-3975,190
2016,0252-9602,126
2016,0301-5629,345
2016,0305-7372,111
2016,0363-0188,70
2016,0377-0427,474
2016,0378-7206,79
2016,0739-8859,86
2016,0939-4753,149
2016,0949-2658,157
2016,0960-0760,242
2016,0962-8924,103
2016,0967-070X,151
2016,0968-0004,125
2016,1001-0742,325
2016,1042-3699,71
2016,1043-6618,413
2016,1054-8807,92
2016,1077-7229,53
2016,1078-8174,116
2016,1166-7087,494
2016,1246-7820,180
2016,1293-8505,204
2016,1340-3540,65
2016,1365-1609,185
2016,1466-853X,108
2016,1551-7144,159
2016,1574-9541,95
2016,1751-1577,105
2016,1752-928X,191
2016,1879-8500,127
2016,1888-4415,57
2016,2095-4964,56
2016,2212-5558,124
2016,2214-790X,119
2016,2468-0451,155
2016,0145-2134,176
2016,0166-4972,47
2016,0167-8655,318
2016,0167-9473,257
2016,0168-9274,108
2016,0190-7409,332
2016,0304-4165,285
2016,0307-904X,717
2016,0315-0860,38
2016,0892-1997,229
2016,1134-2072,240
2016,1161-0301,162
2016,1441-3523,58
2016,0264-2751,167
2016,0168-1923,587
2016,2211-4645,69
2016,0010-9452,266
2016,0893-6080,143
2016,1439-1791,82
2016,0042-6822,360
2016,1879-7296,138
2016,0010-0285,36
2016,0011-2240,276
2016,0014-4886,269
2016,0025-5408,562
2016,0029-6465,74
2016,0038-0717,314
2016,0040-5809,54
2016,0041-008X,304
2016,0079-6611,90
2016,0140-1963,209
2016,0141-0229,197
2016,0145-305X,259
2016,0167-2681,237
2016,0255-2701,220
2016,0304-3479,55
2016,0304-3991,172
2016,0341-8162,352
2016,0378-3820,402
2016,0531-5565,190
2016,0890-4065,41
2016,0890-6955,111
2016,0924-7963,137
2016,0927-538X,90
2016,0959-289X,90
2016,0959-437X,133
2016,1010-6030,377
2016,1043-1489,41
2016,1048-6666,45
2016,1077-3142,170
2016,1369-703X,297
2016,1389-9341,170
2016,1462-3889,119
2016,1471-0153,127
2016,1533-0028,83
2016,1674-2001,121
2016,1740-1445,101
2016,1776-9817,48
2016,1874-3900,212
2016,1879-6257,133
2016,2214-2126,35
2016,2352-4316,128
2016,2352-5568,96
2016,2352-9407,46
2016,2405-4526,39
2016,2405-4569,143
2016,2452-414X,20
2016,0957-1787,89
2016,0022-3468,466
2016,0167-6423,93
2016,0191-491X,36
2016,0278-4165,67
2016,0304-422X,42
2016,0305-4403,149
2016,0306-4379,86
2016,0882-6110,46
2016,0883-9417,142
2016,0898-5898,30
2016,0927-5398,103
2016,0929-693X,375
2016,1073-8746,53
2016,1347-4367,64
2016,1353-8020,925
2016,1367-0484,94
2016,1521-6896,49
2016,1567-5394,89
2016,1570-8705,193
2016,1624-5687,78
2016,1874-4907,49
2016,2211-2669,30
2016,2352-250X,152
2016,2212-0955,36
2016,1355-0306,79
2016,0304-4068,80
2016,0190-0528,69
2016,2352-1546,155
2016,0969-8051,116
2016,1877-0568,249
2017,0003-4916,275
2017,0006-291X,2027
2017,0007-8506,152
2017,0007-9820,125
2017,0008-6223,1169
2017,0009-2541,413
2017,0009-8981,384
2017,0010-2180,356
2017,0010-8545,237
2017,0011-9164,437
2017,0012-8252,148
2017,0013-4686,2315
2017,0013-7952,283
2017,0014-4886,229
2017,0016-5085,4707
2017,0016-6480,285
2017,0016-7037,534
2017,0016-7061,403
2017,0017-9310,1562
2017,0020-0255,596
2017,0020-1693,576
2017,0021-8693,497
2017,0021-9290,435
2017,0021-9517,363
2017,0021-9614,373
2017,0021-9673,912
2017,0021-9797,1207
2017,0022-0396,474
2017,0022-2860,1497
2017,0022-3115,578
